kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
9726659,K01491.01,Kepler-862 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.148661555,8.304e-06,-8.304e-06,356.93612,0.0017,-0.0017,0.652,0.006,-0.51,2.1978,0.0586,-0.0586,550.5,18.3,-18.3,2.15,0.4,-0.29,1097.0,,,342.76,206.87,-121.03,35.30,1,q1_q17_dr25_tce,5258.00,184.00,-184.00,4.458,0.112,-0.154,0.8730,0.1590,-0.1190,19h51m07.02s,+46d29m33.9s,15.297,
12108312,K01492.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.70544824,5.67e-07,-5.67e-07,133.807063,0.000657,-0.000657,1.2,0.278,-0.144,2.9423,0.0428,-0.0428,462.4,4.9,-4.9,20.03,4.83,-1.94,1868.0,,,2899.07,2069.34,-806.36,118.20,1,q1_q17_dr25_tce,5717.00,155.00,-172.00,4.564,0.042,-0.168,0.8260,0.1990,-0.0800,19h19m48.19s,+50d39m26.1s,14.351,
5371776,K01557.01,Kepler-304 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.295701024,1.921e-06,-1.921e-06,133.966333,0.00046,-0.00046,0.267,0.215,-0.267,1.8268,0.0256,-0.0256,1745.7,17.3,-17.3,2.81,0.2,-0.1,875.0,,,138.38,33.33,-19.77,114.70,1,q1_q17_dr25_tce,4723.00,94.00,-94.00,4.628,0.012,-0.045,0.6910,0.0490,-0.0250,19h37m46.02s,+40d33m27.3s,14.840,
5371776,K01557.02,Kepler-304 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.65349016,1.43e-05,-1.43e-05,134.85555,0.00115,-0.00115,0.149,0.305,-0.149,2.9029,0.0438,-0.0438,1308.6,22.4,-22.4,2.41,0.17,-0.09,611.0,,,32.98,7.94,-4.71,63.10,2,q1_q17_dr25_tce,4723.00,94.00,-94.00,4.628,0.012,-0.045,0.6910,0.0490,-0.0250,19h37m46.02s,+40d33m27.3s,14.840,
5371776,K01557.03,Kepler-304 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.315954488,6.638e-06,-6.638e-06,132.43002,0.00102,-0.00102,0.718,0.052,-0.496,1.1165,0.0379,-0.0379,965.9,31.7,-31.7,2.33,0.17,-0.08,746.0,,,73.19,17.63,-10.45,37.70,3,q1_q17_dr25_tce,4723.00,94.00,-94.00,4.628,0.012,-0.045,0.6910,0.0490,-0.0250,19h37m46.02s,+40d33m27.3s,14.840,
9573539,K00180.01,Kepler-484 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.04556377,1.571e-05,-1.571e-05,129.09371,0.00131,-0.00131,0.075,0.359,-0.075,3.2027,0.0445,-0.0445,671.4,11.7,-11.7,2.19,0.28,-0.1,766.0,,,81.61,29.84,-13.62,66.50,1,q1_q17_dr25_tce,5632.00,101.00,-124.00,4.554,0.019,-0.110,0.8530,0.1090,-0.0390,18h57m34.63s,+46d14m56.7s,13.024,
5371776,K01557.04,Kepler-304 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.499144441,3.838e-06,-3.838e-06,133.07022,0.0021,-0.0021,0.331,0.127,-0.331,1.4259,0.0719,-0.0719,258.9,14,-14,1.09,0.08,-0.04,1137.0,,,395.06,95.17,-56.43,22.20,4,q1_q17_dr25_tce,4723.00,94.00,-94.00,4.628,0.012,-0.045,0.6910,0.0490,-0.0250,19h37m46.02s,+40d33m27.3s,14.840,
9886661,K01606.01,Kepler-905 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.082748362,8.712e-06,-8.712e-06,133.21176,0.00157,-0.00157,0.063,0.391,-0.063,1.7732,0.046,-0.046,276.7,8,-8,1.4,0.17,-0.05,928.0,,,175.06,61.66,-26.43,40.90,1,q1_q17_dr25_tce,5430.00,97.00,-108.00,4.555,0.018,-0.108,0.8580,0.1050,-0.0350,19h20m12.27s,+46d42m48.1s,13.984,
5477805,K01607.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,5.00673576,1.527e-05,-1.527e-05,134.54239,0.00255,-0.00255,0.599,0.31,-0.378,1.9398,0.0808,-0.0808,191.2,8.8,-8.8,2,0.57,-0.63,1324.0,,,726.94,630.28,-429.08,26.60,1,q1_q17_dr25_tce,6116.00,191.00,-212.00,4.158,0.264,-0.176,1.3830,0.3940,-0.4330,19h55m51.01s,+40d37m50.4s,13.518,
10055126,K01608.01,Kepler-311 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.17617167,3.418e-05,-3.418e-05,138.71393,0.00304,-0.00304,0.107,0.324,-0.107,4.2642,0.0897,-0.0897,206.9,6.5,-6.5,1.66,0.26,-0.24,960.0,,,200.99,89.44,-64.92,34.30,1,q1_q17_dr25_tce,5903.00,106.00,-117.00,4.300,0.150,-0.100,1.1560,0.1850,-0.1660,18h48m14.71s,+47d05m07.8s,13.797,
10055126,K01608.02,Kepler-311 c,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,19.7383992,0.0001172,-0.0001172,133.28544,0.00499,-0.00499,0.732,0.011,-0.535,4.894,0.136,-0.136,168.1,8.9,-8.9,1.61,0.26,-0.23,744.0,,,72.32,32.18,-23.36,20.30,2,q1_q17_dr25_tce,5903.00,106.00,-117.00,4.300,0.150,-0.100,1.1560,0.1850,-0.1660,18h48m14.71s,+47d05m07.8s,13.797,
5009743,K01609.01,Kepler-906 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,41.6980186,0.0001434,-0.0001434,169.57548,0.0028,-0.0028,0.002,0.407,-0.002,5.7047,0.0839,-0.0839,440.8,11.6,-11.6,2.03,0.31,-0.14,537.0,,,19.61,8.20,-4.05,43.40,1,q1_q17_dr25_tce,5997.00,107.00,-131.00,4.466,0.048,-0.112,0.9710,0.1450,-0.0670,19h25m37.33s,+40d07m31.8s,13.956,
10015937,K01720.01,Kepler-1767 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,59.6585348,0.0005578,-0.0005578,168.08764,0.00603,-0.00603,0.956,0.003,-0.675,5.514,0.353,-0.353,1043.8,55.8,-55.8,3.59,0.3,-0.17,393.0,,,5.66,1.41,-0.81,21.20,1,q1_q17_dr25_tce,5243.00,84.00,-73.00,4.547,0.028,-0.077,0.8310,0.0690,-0.0400,19h34m34.60s,+46d59m23.1s,15.742,
10019065,K01721.01,Kepler-938 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,52.6298542,0.0003281,-0.0003281,155.61064,0.00569,-0.00569,0.311,0.147,-0.311,6.118,0.166,-0.166,675.8,29.1,-29.1,3.68,0.55,-1.36,544.0,,,20.65,8.40,-12.90,27.20,1,q1_q17_dr25_tce,5339.00,88.00,-72.00,4.096,0.368,-0.092,1.4330,0.2120,-0.5310,19h39m09.40s,+46d59m02.4s,15.004,
7950644,K00192.01,Kepler-427 b,CONFIRMED,CANDIDATE,0.9910,0,0,0,0,10.290994129,1.004e-06,-1.004e-06,137.0220594,8.17e-05,-8.17e-05,0.049,0.01,-0.049,4.28889,0.00281,-0.00281,9655.7,8.9,-8.9,13.43,2.01,-3.02,996.0,,,233.08,92.10,-100.23,1245.70,1,q1_q17_dr25_tce,5803.00,78.00,-78.00,4.134,0.201,-0.093,1.3730,0.2060,-0.3080,19h13m01.10s,+43d42m17.5s,14.221,
10080248,K01722.01,Kepler-939 b,CONFIRMED,CANDIDATE,0.8200,0,0,0,0,14.8783945,0.0001347,-0.0001347,142.96841,0.00642,-0.00642,0.749,0.194,-0.534,7.491,0.202,-0.202,322.8,16.1,-16.1,1.63,0.49,-0.16,692.0,,,54.19,47.65,-15.35,22.90,1,q1_q17_dr25_tce,5822.00,157.00,-174.00,4.557,0.036,-0.204,0.8370,0.2510,-0.0840,19h35m27.74s,+47d01m36.6s,15.534,
